ime,letnica rojstva
uwe-jens-mey,1963
vadim-sayutin,1970
valentina-lalenkova,1957
valentina-stenina,1934
valentina-yakshina,1976
valentine-bialas,1903
valeri-kotov,1939
valerii-kaplan,1943
valery-muratov,1946
vanessa-herzog,1995
varvara-barysheva,1977
vasile-coros,1951
vera-krasnova,1950
vesa-rosendahl,1975
viktor-chacherine,1962
viktor-kosichkin,1938
viktor-leskine,1953
viktor-varlamov,1948
villy-haugen,1944
vincent-de-haitre,1994
vitaly-novichenko,1975
vladimir-ivanov,1987
vladimir-klepinin,1971
vladimir-kolar,1927
vladimir-komarov,1949
vladimir-koslov,1958
vladimir-kostin,1976
vladimir-lobanov,1953
vladimir-orlov,1938
wayne-arthur-le-bombard,1944
wei-li,1969
wei-hang-zhao,1950
weijiang-an,1983
wel-za-bak,1944
wendy-thompson,1946
wiggo-kai-hansen,1923
willem-kos,1904
willem-van-der-voort,1923
william-ambrose-carow,1924
william-ashford-jones,1923
william-disney,1932
william-dutton,1989
william-lanigan,1947
willy-de-beer,1942
willy-olsen,1952
wolfgang-scharf,1959
wollert-nygren,1906
xiao-yen-wang,1969
xiaolei-zhang,1983
xin-zhao,1992
xuefeng-gao,1980
xuesong-li,1979
yan-fei-liu,1967
yanchun-you,1976
yang-gao,1993
yasuhiro-shimizu,1958
yasumitsu-kanehama,1963
yasunori-miyabe,1966
yasuo-kawamura,1908
yasushi-kuroiwa,1965
yasushi-suzuki,1962
yayoi-nagaoka,1974
yekaterina-abramova,1982
yekaterina-aydova,1991
yekaterina-lobysheva,1985
yekaterina-malysheva,1987
yep-kramer,1957
yeun-joo-lee,1964
yevgeny-grishin,1931
yevgeny-kulikov,1950
yevgeny-lalenkov,1981
yevgeny-seryayev,1988
ylva-hedlund,1949
yngvar-hafsund-karlsen,1920
yoko-fukazawa,1968
yong-chol-li,1972
yong-hun-song,1972
yong-joo-lee,1980
yong-seok-oh,1969
yongbin-ma,1981
yoshiaki-demachi,1943
yoshihiro-kawano,1943
yoshihiro-kitazawa,1962
yoshiko-takano,1943
yoshitaka-hori,1933
yoshiyasu-gomi,1933
yoshiyuki-shimizu,1969
you-lim-kim,1990
young-bai-choi,1938
young-chin-choi,1922
young-ha-lee,1956
young-hee-kim,1962
young-ok-kim,1966
yue-shi-liu,1968
yuji-fujimoto,1970
yukari-watanabe,1981
yukihiro-mitani,1961
yukinori-miyabe,1968
yuko-ota,1957
yuliya-skokova,1982
yumi-kaeriyama,1967
yuri-obara,1980
yury-kokhanets,1972
yury-kondakov,1951
yury-mikhailov,1930
yushoku-cho,1914
yusuke-imai,1977
yvonne-nauta,1991
yvonne-van-gennip,1964
zbigniew-brodka,1984
zhi-wu-gai,1960
zhongqi-zhang,1982
zhuo-lu,1980
zofia-tokarczyk,1963
